symbol,direction,zone_type,zone_accuracy,entry_price,stop_price,tp1_price,tp2_price,rr_ratio
LRCUSDT,LONG,DEMAND,normal,0.1625,0.1631,0.16429999999999997,0.1684999999999999,3.0
LRCUSDT,LONG,DEMAND,normal,0.1624,0.1628,0.16360000000000002,0.1664000000000001,3.0
LRCUSDT,LONG,DEMAND,normal,0.1626,0.1631,0.1641,0.1676,3.0
LRCUSDT,LONG,DEMAND,normal,0.1618,0.1635,0.16690000000000002,0.17880000000000007,3.0
LRCUSDT,LONG,DEMAND,normal,0.1638,0.1643,0.1653,0.1688,3.0
LRCUSDT,LONG,DEMAND,normal,0.1634,0.1646,0.167,0.17540000000000006,3.0
LRCUSDT,LONG,DEMAND,normal,0.1627,0.1648,0.16899999999999998,0.18369999999999992,3.0
LRCUSDT,LONG,DEMAND,accuracy,0.1619,0.166,0.17420000000000005,0.2029000000000002,3.0
LRCUSDT,LONG,DEMAND,normal,0.161,0.1658,0.1754,0.209,3.0
LRCUSDT,LONG,DEMAND,normal,0.1608,0.1666,0.1782,0.2188,3.0
LRCUSDT,LONG,DEMAND,normal,0.1619,0.1651,0.1715,0.19390000000000007,3.0
LRCUSDT,LONG,DEMAND,normal,0.1622,0.165,0.1706,0.19019999999999998,3.0
LRCUSDT,LONG,DEMAND,normal,0.1623,0.1654,0.17159999999999997,0.19329999999999992,3.0
LRCUSDT,LONG,DEMAND,normal,0.1626,0.1658,0.17220000000000002,0.19460000000000008,3.0
SNXUSDT,LONG,DEMAND,accuracy,1.436,1.527,1.7089999999999999,2.3459999999999996,3.0
SNXUSDT,LONG,DEMAND,normal,1.494,1.5,1.512,1.554,3.0
SNXUSDT,LONG,DEMAND,normal,1.505,1.508,1.5140000000000002,1.535000000000001,3.0
SNXUSDT,LONG,DEMAND,normal,1.482,1.532,1.6320000000000001,1.9820000000000004,3.0
SNXUSDT,LONG,DEMAND,normal,1.482,1.54,1.6560000000000001,2.0620000000000003,3.0
